"Positions for CUSTACCS as of 10:01 AM ET, 11/28/2024","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"EF2 ...416","","","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng % (Price Change %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Day Chng % (Day Change %)","Day Chng $ (Day Change $)","Cost Basis","Gain % (Gain/Loss %)","Gain $ (Gain/Loss $)","Ratings","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Security Type"
"BSV","VANGUARD SHORT-TERM BONDETF","70","$77.64","0.13%","$0.1","$5434.8","0.13%","$7.00","$5305.17","2.44%","$129.63","--","No","--","25.37%","ETFs & Closed End Funds"
"VTIP","VANGUARD SHRT INF PROT SEC INDEX ETF","14","$48.97","0.12%","$0.06","$685.58","0.12%","$0.84","$662.97","3.41%","$22.61","--","No","--","3.2%","ETFs & Closed End Funds"
"DFGFX","DFA TWO-YEAR GLOBAL FIXED-INCOME I","1,117","$9.9","N/A","N/A","$11058.3","N/A","N/A","$11061.29","-0.03%","-$2.99","4","No","No","51.61%","Mutual Fund"
"SWRSX","SCHWAB TREASURY INFL PROTECTED SECS IDX","143","$10.28","0.29%","$0.03","$1470.04","0.29%","$4.29","$1593.06","-7.72%","-$123.02","4","No","No","6.86%","Mutual Fund"
"SWTSX","SCHWAB TOTAL STOCK MARKET INDEX","27","$102.86","-0.34%","-$0.35","$2777.22","-0.34%","-$9.45","$1457.67","90.52%","$1319.55","3","No","No","12.96%","Mutual Fund"
"Cash & Cash Investments","--","--","--","--","--","$0.00","0%","$0.00","--","--","--","--","--","--","N/A","Cash and Money Market"
"Account Total","--","--","--","--","--","$21425.94","0.01%","$2.6800000000000000","$20080.16","6.7%","$1345.78","--","--","--","--","--"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Checking_Brokerage ...800","","","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng % (Price Change %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Day Chng % (Day Change %)","Day Chng $ (Day Change $)","Cost Basis","Gain % (Gain/Loss %)","Gain $ (Gain/Loss $)","Ratings","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Security Type"
"Cash & Cash Investments","--","--","--","--","--","$0.00","0%","$0.00","--","--","--","--","--","--","N/A","Cash and Money Market"
"Account Total","--","--","--","--","--","$0.00","0%","$0.00","N/A","N/A","N/A","--","--","--","--","--"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"LPS ...059","","","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng % (Price Change %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Day Chng % (Day Change %)","Day Chng $ (Day Change $)","Cost Basis","Gain % (Gain/Loss %)","Gain $ (Gain/Loss $)","Ratings","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Security Type"
"BND","VANGUARD TOTAL BOND MARKET ETF","34","$73.33","0.27%","$0.2","$2493.22","0.27%","$6.8","$2383.91","4.59%","$109.31","--","No","--","7.22%","ETFs & Closed End Funds"
"DFIC","DIMENSIONAL INTERN CORE EQUITY 2 ETF","31","$26.52","0.65%","$0.17","$822.12","0.65%","$5.27","$753.81","9.06%","$68.31","--","Yes","--","2.38%","ETFs & Closed End Funds"
"VNQ","VANGUARD REAL ESTATE ETF","26","$98.6","0.64%","$0.63","$2563.6","0.64%","$16.38","$2319.13","10.54%","$244.47","--","No","--","7.42%","ETFs & Closed End Funds"
"VASIX","VANGUARD LIFESTRATEGY INCOME INV","1,413","$15.73","0.19%","$0.03","$22226.49","0.19%","$42.39","$22756.45","-2.33%","-$529.96","3","Yes","Yes","64.32%","Mutual Fund"
"VBTLX","VANGUARD TOTAL BOND MARKET INDEX ADM","669","$9.64","0.21%","$0.02","$6449.16","0.21%","$13.38","$6592.06","-2.17%","-$142.9","3","No","No","18.66%","Mutual Fund"
"Cash & Cash Investments","--","--","--","--","--","$0.00","0%","$0.00","--","--","--","--","--","--","N/A","Cash and Money Market"
"Account Total","--","--","--","--","--","$34554.59","0.24%","$84.22","$34805.36","-0.72%","-$250.77","--","--","--","--","--"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"IRA ...082","","","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng % (Price Change %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Day Chng % (Day Change %)","Day Chng $ (Day Change $)","Cost Basis","Gain % (Gain/Loss %)","Gain $ (Gain/Loss $)","Ratings","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Security Type"
"BND","VANGUARD TOTAL BOND MARKET ETF","261.9376","$73.33","0.27%","$0.2","$19207.88","0.27%","$52.39","$18779.9","2.28%","$427.98","--","Yes","--","5.29%","ETFs & Closed End Funds"
"DFEM","DIMENSIONAL EMERG MARK CRE EQY 2 ETF","586.6274","$26.61","0.23%","$0.06","$15610.16","0.23%","$35.2","$15473.75","0.88%","$136.41","--","Yes","--","4.3%","ETFs & Closed End Funds"
"VNQ","VANGUARD REAL ESTATE ETF","197.0399","$98.6","0.64%","$0.63","$19428.13","0.64%","$124.14","$16395.49","18.5%","$3032.64","--","Yes","--","5.35%","ETFs & Closed End Funds"
"VNQI","VANGUARD GLBAL EX US REAL ESTATE ETF","244.482","$43.2","1.31%","$0.56","$10561.62","1.31%","$136.91","$10136.71","4.19%","$424.91","--","Yes","--","2.91%","ETFs & Closed End Funds"
"DFVEX","DFA US VECTOR EQUITY I","8,026.277","$28.95","-0.24%","-$0.07","$232360.72","-0.24%","-$561.84","$165715.92","40.22%","$66644.8","4","No","Yes","63.94%","Mutual Fund"
"DFVQX","DFA INTERNATIONAL VECTOR EQUITY I","4,671.886","$13.86","0.51%","$0.07","$64752.34","0.51%","$327.03","$60714.12","6.65%","$4038.22","3","No","Yes","17.82%","Mutual Fund"
"Cash & Cash Investments","--","--","--","--","--","$1499.62","0%","$0.00","--","--","--","--","--","--","0.41%","Cash and Money Market"
"Account Total","--","--","--","--","--","$363420.47","0.03%","$113.83000000000000","$287215.89","26.01%","$74704.96","--","--","--","--","--"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Roth ...912","","","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng % (Price Change %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Day Chng % (Day Change %)","Day Chng $ (Day Change $)","Cost Basis","Gain % (Gain/Loss %)","Gain $ (Gain/Loss $)","Ratings","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Security Type"
"VNQ","VANGUARD REAL ESTATE ETF","237.4242","$98.6","0.64%","$0.63","$23410.03","0.64%","$149.58","$20942.18","11.78%","$2467.85","--","Yes","--","92.02%","ETFs & Closed End Funds"
"VNQI","VANGUARD GLBAL EX US REAL ESTATE ETF","47","$43.2","1.31%","$0.56","$2030.4","1.31%","$26.32","$2221.48","-8.6%","-$191.08","--","No","--","7.98%","ETFs & Closed End Funds"
"Cash & Cash Investments","--","--","--","--","--","$0.7","0%","$0.00","--","--","--","--","--","--","0%","Cash and Money Market"
"Account Total","--","--","--","--","--","$25441.13","0.7%","$175.9","$23163.66","9.83%","$2276.77","--","--","--","--","--"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"TRS ...153","","","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng % (Price Change %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Day Chng % (Day Change %)","Day Chng $ (Day Change $)","Cost Basis","Gain % (Gain/Loss %)","Gain $ (Gain/Loss $)","Ratings","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Security Type"
"DFAE","DIMENSIONAL EMERG CORE EQY MRKT ETF","489","$25.81","0.16%","$0.04","$12621.09","0.16%","$19.56","$12272.86","2.84%","$348.23","--","No","--","3.23%","ETFs & Closed End Funds"
"DFAX","DIMENSIONAL WLD EX US CREQ 2 ETF","561","$25.52","0.47%","$0.12","$14316.72","0.47%","$67.32","$13794.57","3.79%","$522.15","--","No","--","3.67%","ETFs & Closed End Funds"
"VNQI","VANGUARD GLBAL EX US REAL ESTATE ETF","8","$43.2","1.31%","$0.56","$345.6","1.31%","$4.48","$470.43","-26.54%","-$124.83","--","No","--","0.09%","ETFs & Closed End Funds"
"VTEB","VANGUARD MUNI BND TAX EXEMPT ETF","153","$50.94","0.16%","$0.08","$7793.82","0.16%","$12.24","$7759.03","0.45%","$34.79","--","No","--","2%","ETFs & Closed End Funds"
"DFCEX","DFA EMERGING MARKETS CORE EQUITY I","747","$23.84","-0.08%","-$0.02","$17808.48","-0.08%","-$14.94","$14647.25","21.58%","$3161.23","4","No","No","4.56%","Mutual Fund"
